,rotten_tomatoes_link,critic_name,top_critic,publisher_name,review_type,review_score,review_date,review_content
19,m/10006370-stay_alive,Terry Lawson,TRUE,Detroit Free Press,Rotten,4-Jan,3/24/2006,Dead on arrival.
20,m/10006370-stay_alive,E! Staff,FALSE,E! Online,Rotten,F,3/24/2006,It's a test of endurance few will survive.
21,m/10006370-stay_alive,John Anderson,TRUE,Newsday,Rotten,4-Jan,3/24/2006,What will terrify the audience very early on is the realization that there's better acting in the video game than on the big screen.
22,m/10006370-stay_alive,Nick Schager,FALSE,Slant Magazine,Rotten,4-Jan,3/24/2006,It's amazing how little Stay Alive actually knows about the videogame culture in which its terror-lite tale is set.
23,m/10006370-stay_alive,Kirk Honeycutt,TRUE,Hollywood Reporter,Fresh,,3/24/2006,"Debuting director William Brent Bell, who wrote the script with producer Matthew Peterman, keeps the pace brisk and the pot bubbling."
24,m/10006370-stay_alive,Frank Swietek,FALSE,One Guy's Opinion,Rotten,F,3/24/2006,"Despite its title, this would-be thriller...is definitely D.O.A. Stay Alive? More to the point, stay away."
25,m/10006370-stay_alive,Johnny Butane,FALSE,Dread Central,Fresh,5-Mar,3/24/2006,Stay Alive isn't a total wash if you're looking to kill a Saturday afternoon or night if you get off on hearing little kids scream.
26,m/10006370-stay_alive,Brian Orndorf,FALSE,FilmJerk.com,Rotten,F,3/24/2006,Stay Alive consistently proves itself to be the most idiotic film this year that wasn't directed by Uwe Boll.
27,m/10006370-stay_alive,Dave White,FALSE,Movies.com,Rotten,D+,3/24/2006,
28,m/10006370-stay_alive,Betty Jo Tucker,FALSE,ReelTalk Movie Reviews,Rotten,,3/25/2006,"It's all too predictable, so where's the suspense?"
29,m/10006370-stay_alive,Eric D. Snider,FALSE,EricDSnider.com,Rotten,D,3/25/2006,This week's stupid but harmless PG-13 cookie-cutter horror film.
30,m/10006370-stay_alive,Jesse Hassenger,FALSE,Filmcritic.com,Rotten,1.5/5,3/26/2006,"makes minimal sense, displays minimal style, and provides minimal entertainment"
31,m/10006370-stay_alive,Kevin A. Ranson,FALSE,MovieCrypt.com,Rotten,4-Feb,3/27/2006,"With all the gamer product endorsements (Alienware, PS2), you'd think they could afford someone to write a better ending for a decent idea."
32,m/10006370-stay_alive,John Anderson,TRUE,Variety,Rotten,,3/28/2006,An anemic attempt to update the horror genre's imperiled-teens-meet-bloodletting-uber-fiend substratum.
33,m/10006370-stay_alive,Neva Chonin,TRUE,San Francisco Chronicle,Rotten,4-Jan,3/28/2006,"It's unlikely that Stay Alive could ever have been a good movie in the traditional sense, but it might have been better if Bell and co-writer Matthew Peterman had done more to exploit their gaming premise."
34,m/10006370-stay_alive,Pam Grady,FALSE,Reel.com,Rotten,4-Feb,3/28/2006,"It's too tame to be scary and too silly to take seriously. What it does seriously is waste time, which is fine if you really don't have anything better to do, like, say, count cracks in the sidewalk."
35,m/10006370-stay_alive,Roger Moore,TRUE,Orlando Sentinel,Rotten,5-Jan,3/28/2006,Perhaps the worst horror film to not have Uwe Boll's name in the credits.
36,m/10006370-stay_alive,Neil Genzlinger,TRUE,New York Times,Rotten,5-Jan,3/28/2006,"The star of Stay Alive is a cutting-edge video game, but the film still has hackneyed horror at its heart."
37,m/10006370-stay_alive,Jackie K. Cooper,FALSE,jackiekcooper.com,Rotten,10-Mar,3/28/2006,This movie will bore you to death
38,m/10006370-stay_alive,Kyle Smith,TRUE,New York Post,Rotten,0.5/4,3/28/2006,A notion of an outline of a rough draft of a killer video-game flick.
39,m/10006370-stay_alive,Elizabeth Weitzman,TRUE,New York Daily News,Rotten,1.5/4,3/28/2006,"There's a fascinating and terrifying story to be told about Elizabeth Bathory, the dramatically depraved 17th century sadist known as the Blood Countess. This ain't it."
40,m/10006370-stay_alive,Ben Kenigsberg,FALSE,L.A. Weekly,Rotten,,3/28/2006,Maybe video games really do rot the mind.
41,m/10006370-stay_alive,Jason Anderson,TRUE,Globe and Mail,Rotten,1.5/4,3/28/2006,Here's a movie that tries to be a video game but is less entertaining than a vending machine.
42,m/10006370-stay_alive,Christy Lemire,TRUE,Associated Press,Rotten,,3/28/2006,"This is a cool/potentially creepy idea only if you're in high school and goofing around with your friends at the movie theater. For everyone else, this isn't just a preposterous premise for a horror movie, it's a source of unintentional hilarity."
43,m/10006370-stay_alive,James Parker,TRUE,Boston Globe,Rotten,1.5/4,3/28/2006,"The hybrid of cyber antics and bayou creepiness doesn't quite jell, but it all ends bloodily, and in an efficient 85 minutes, too. I'm not complaining."
44,m/10006370-stay_alive,Ken Hanke,FALSE,"Mountain Xpress (Asheville, NC)",Rotten,5-Mar,3/29/2006,"Really silly, but there's nothing inherently unlikable about the movie's silliness."
45,m/10006370-stay_alive,Gregory Kirschling,TRUE,Entertainment Weekly,Rotten,D-,3/29/2006,"Videogames are no longer brainless, so why are videogame movies so slow to evolve?"
46,m/10006370-stay_alive,Linda Cook,FALSE,"Quad City Times (Davenport, IA)",Rotten,4-Feb,3/30/2006,"A typical offering in the PG-13 horror-movie genre, ""Stay Alive"" won't surprise anybody, especially the young demographic toward which it is aimed."
47,m/10006370-stay_alive,Nathan Rabin,TRUE,AV Club,Rotten,D-,3/30/2006,"Teen fodder like this isn't known for sophistication or storytelling depth, but the filmmakers seem to take the film's video-game theme as permission to eschew even the horror genre's exceedingly lenient minimums for characterization."
48,m/10006370-stay_alive,Cynthia Fuchs,FALSE,Common Sense Media,Rotten,,3/31/2006,"Ridiculous and then some, STAY ALIVE offers the usual slasher movie set-up: young people making one wrong decision after another."
49,m/10006370-stay_alive,Kevin Courrier,FALSE,Boxoffice Magazine,Rotten,5-Jan,4/1/2006,"Since the director and co-writer William Brent Bell does little to contrast the contrived and mechanical horror of the game with the mounting horror of the story, we can't invest much sympathy in the plight of the characters."
50,m/10006370-stay_alive,Felix Vasquez Jr.,FALSE,Film Threat,Rotten,1.5/5,4/4/2006,"Seriously, Bell, answer me something: does the game kill you when you die on the game? Does the game kill you because you have it in your possession? Or does the game kill you period because you played it? Which is it?"
51,m/10006370-stay_alive,Eric Lurio,FALSE,Greenwich Village Gazette,Rotten,0.3/5,4/6/2006,Boring!!!
52,m/10006370-stay_alive,John Beifuss,FALSE,"Commercial Appeal (Memphis, TN)",Rotten,1.5/4,4/7/2006,The bloody 16th Century saga of Hungary's Countess Elizabeth Bathory is transported to pre-Katrina New Orleans in this occasionally spooky but cheap and inconsequential thriller.
53,m/10006370-stay_alive,Steve Newton,FALSE,Georgia Straight,Rotten,0/5,4/8/2006,"The filmmakers are so at a loss for fresh ways to shock that they even dredge up the twitchy, girl-with-hair-hanging-in-her-face trick from The Ring and The Grudge."
54,m/10006370-stay_alive,Marc Savlov,FALSE,Austin Chronicle,Rotten,0/5,4/8/2006,"Implausibly tedious, Stay Alive has none of the vicarious thrills of, say, Konami's Silent Hill 2. It's barely even Pong unplugged."
55,m/10006370-stay_alive,Jim Slotek,FALSE,Jam! Movies,Rotten,5-Jan,4/8/2006,Never mind staying alive. You'd be doing well to simply stay awake through all 85 interminably inert minutes of Stay Alive.
56,m/10006370-stay_alive,Luke Y. Thompson,FALSE,Los Angeles CityBeat,Rotten,,4/29/2006,"If any of these characters were halfway decent gamers (or even hackers), their problems would be solved"
57,m/10006370-stay_alive,Jim Lane,FALSE,Sacramento News & Review,Rotten,5-Jan,5/12/2006,The dialogue seldom rises above the level of twaddle -- unspeakable in every sense of the word.
58,m/10006370-stay_alive,Rich Cline,FALSE,Shadows on the Wall,Rotten,5-Feb,6/6/2006,A lack of logic infects this film like a virus.
59,m/10006370-stay_alive,,TRUE,Time Out,Fresh,,6/24/2006,"... while its narrative style -- elliptical, fragmented, even eccentric at times -- is ambitious and imaginative, it sometimes makes for a loss of clarity and momentum."
60,m/10006370-stay_alive,Neil Smith,TRUE,BBC.com,Rotten,5-Jan,7/4/2006,"Stuttering like a busted console, the film's lack of invention is only rivalled by a paucity of gore which will seem positively comical to gamers long since inured to cyberspace slaughter."
61,m/10006370-stay_alive,Matthew Turner,FALSE,ViewLondon,Rotten,5-Feb,7/27/2006,"Something of a disappointment and nowhere near as scary as The Ring, which it rips off shamelessly."
62,m/10006370-stay_alive,James Dyer,FALSE,Empire Magazine,Rotten,5-Jan,7/28/2006,A cool idea rapidly falls apart. A completely missed opportunity.
63,m/10006370-stay_alive,Peter Bradshaw,TRUE,Guardian,Rotten,5-Jan,7/29/2006,Never has a title been more horribly at odds with the way you're actually going to feel while watching the movie.
64,m/10006370-stay_alive,Michael Szymanski,FALSE,Hollywood.com,Rotten,C+,8/23/2006,"This movie has a nostalgic retro feel to it, like the old Universal horror movies that we now find very funny. But alas, where are all the drive-in theaters to show it in?"
65,m/10006370-stay_alive,John J. Puccio,FALSE,Movie Metropolis,Rotten,10-Apr,9/12/2006,"...if the filmmakers could have dispensed with the actors and plot altogether, they might have had a better movie."
66,m/10006370-stay_alive,Pablo Villaça,FALSE,Cinema em Cena,Rotten,5-Feb,9/17/2006,#NAME?
68,m/10006370-stay_alive,David Nusair,FALSE,Reel Film Reviews,Rotten,1.5/4,10/17/2006,"...a little needless brutality would've almost certainly elevated the proceedings, albeit temporarily..."
69,m/10006370-stay_alive,Kevin Carr,FALSE,7M Pictures,Fresh,3.5/5,10/17/2006,"Yeah, the plot sounds like utter nonsense, but it's fun."
70,m/10006370-stay_alive,Ethan Alter,FALSE,Film Journal International,Rotten,,3/1/2007,"If Stay Alive teaches us anything, it's that videogames and horror films do not mix...at least in the same movie."
71,m/10006370-stay_alive,J. R. Jones,TRUE,Chicago Reader,Rotten,,3/7/2007,"There's a gothic backstory to all this, which makes no sense but looks pretty cool."
72,m/10006370-stay_alive,Brian Tallerico,FALSE,UGO,Rotten,,3/24/2007,"One of those movies that thinks loud sounds and shaky cameras account for scares, and reminding of us of truly scary gaming experiences only amplifies its weaknesses."
73,m/10006370-stay_alive,Alberto Abuín,FALSE,Espinof,Fresh,,2/13/2020,Any video game character is a better actor than the ones that work here. [Full Review in Spanish]
74,m/10009274-priest,Catherine Bray,FALSE,Film4,Rotten,2.5/5,5/5/2011,Not terrible.
75,m/10009274-priest,,FALSE,Total Film,Rotten,5-Feb,5/5/2011,There's a wealth of material to be mined from crises of faith and the idea of the church as supreme governor. But it quickly becomes apparent that subtext is too much to ask of a film that just wants cowboys and clergymen to fight vampires.
76,m/10009274-priest,Matthew Turner,FALSE,ViewLondon,Rotten,5-Feb,5/5/2011,"Priest is stylishly conceived and has the odd decent action sequence but it's also derivative, curiously flat and neither as scary nor as much fun as it should have been."
77,m/10009274-priest,Alan Jones,FALSE,Radio Times,Rotten,5-Feb,5/5/2011,"A dourly humourless, futuristic farrago."
78,m/10009274-priest,Tim Robey,TRUE,Daily Telegraph (UK),Rotten,5-Feb,5/6/2011,"Clawing away under its 3D dinge and slick but desensitising effects, the movie is deadly, even when it's cool - a comic-book adaptation ruthlessly shorn of the word ""comic""."
79,m/10009274-priest,David Edwards,FALSE,Daily Mirror (UK),Rotten,5-Jan,5/6/2011,"Drab, eye-rollingly stupid and with noisy effects designed to drown out audience snores, Priest is just about as bad as it gets."
80,m/10009274-priest,Robbie Collin,FALSE,News of the World,Rotten,5-Feb,5/7/2011,"Paul Bettany in a cassock with a cross biroed on to his forehead, potholing with vampires. In 3D."
81,m/10009274-priest,Ray Bennett,TRUE,Hollywood Reporter,Rotten,,5/9/2011,Doesn't have a prayer.
82,m/10009274-priest,Leslie Felperin,TRUE,Variety,Rotten,,5/9/2011,"Not exactly an unholy mess, but still a rather too pious retread of classic sci-fi/action/horror riffs that lacks originality or pizzazz."
83,m/10009274-priest,Tom Huddleston,TRUE,Time Out,Rotten,5-Feb,5/9/2011,"Did Paul Bettany know, when he donned the cowl of the albino monk in 'The Da Vinci Code', that he would soon be typecast as Hollywood's go-to guy for God-bothering multiplex action movies?"
84,m/10009274-priest,Brent Simon,FALSE,Screen International,Fresh,2.5/5,5/10/2011,"A mlange of apocalyptic western, gothic horror and vampire action movie, Priest won't win any awards for originality. Still, it's streamlined and executed well enough to earn a tip of the cap from those in its target demo."
85,m/10009274-priest,Elliott Noble,FALSE,Sky Cinema,Rotten,5-Feb,5/10/2011,"At best, Priest is a passable time-waster. Mostly, it's like watching an extended Gorillaz video."
86,m/10009274-priest,MaryAnn Johanson,FALSE,Flick Filosopher,Fresh,,5/11/2011,"[E]ven though it's easy to point out how derivative it is in a lot of ways, it's also sort of thrilling in how spare and clean and unself-conscious it is about itself..."
87,m/10009274-priest,Graham Young,FALSE,Birmingham Post,Rotten,5-Jan,5/12/2011,The over-optimistic promise of a sequel will hopefully be one premise which remains dead and buried. For ever and ever. Amen.
88,m/10009274-priest,Todd Gilchrist,FALSE,Boxoffice Magazine,Fresh,5-Mar,5/12/2011,"In an era where monster mythology has become raw material for all sorts of mediocrity, Priest is one of the best examples of a broad-scale vampire blockbuster."
89,m/10009274-priest,JimmyO,FALSE,JoBlo's Movie Network,Fresh,10-Jun,5/13/2011,I guess you could call it a guilty pleasure.
90,m/10009274-priest,Eric D. Snider,TRUE,Film.com,Rotten,C,5/13/2011,"Too good-looking to be dismissed entirely, not bad enough to be worthy of outright scorn, but not good enough to watch, either."
91,m/10009274-priest,Mike Hale,TRUE,New York Times,Rotten,5-Feb,5/13/2011,"The film, based in name only on a series of South Korean graphic novels, has nice, washed-out desert exteriors and some cool jet-powered motorcycles, but there's nothing in the hackneyed story or the derivative action scenes to make you take notice."
92,m/10009274-priest,Stephen Whitty,TRUE,Newark Star-Ledger,Rotten,4-Jan,5/13/2011,"The whole thing -- which in less than an hour-and-a-half manages to insult Catholics, Native Americans, John Wayne fans and anybody with two I.Q. points to spare -- all climaxes in a lot of fire and smoke and CGI explosions."
93,m/10009274-priest,Mark Olsen,TRUE,Los Angeles Times,Rotten,5-Feb,5/13/2011,The film is somehow a disappointing combo of too-full and oddly empty.
94,m/10009274-priest,S.T. VanAirsdale,FALSE,Movieline,Fresh,7.5/10,5/13/2011,"I liked Priest, and I wouldn't much mind any of these characters returning."
95,m/10009274-priest,Peter Paras,FALSE,E! Online,Rotten,D,5/13/2011,"A soulless sci-fi thriller about crucifix-tattooed warriors battling vampires, Priest is too serious to be any fun."
96,m/10009274-priest,Staci Layne Wilson,FALSE,Horror.com,Rotten,,5/13/2011,"While I hardly hold Priest 3D sacred, I'm not throwing holy water on it and casting it out, either. It's fine, as long as you're fine with adequate horror actioners."
97,m/10009274-priest,Logan Hill,TRUE,New York Magazine/Vulture,Rotten,,5/13/2011,"When you watch Bettany, you can't help wondering why the hell a talented actor is stuck in such an ungodly mess."
98,m/10009274-priest,Nick Schager,FALSE,Slant Magazine,Rotten,4-Jan,5/13/2011,"In the way it unimaginatively regurgitates familiar genre elements in service of preachy piousness, director Scott Charles Stewart's cinema is the equivalent of Christian rock."
99,m/10009274-priest,Liz Braun,FALSE,Jam! Movies,Rotten,5-Jan,5/13/2011,"At $12.75 a movie ticket, you might be better off buying the comic book."
100,m/10009274-priest,Joe Neumaier,TRUE,New York Daily News,Fresh,5-Mar,5/13/2011,"[If] you're looking for a diverting sci-fi actioner that handily mixes the DNA of several different movies, with a few flying crosses thrown in and a heavy dose of Western mythology, sink your teeth in."
101,m/10009274-priest,David Medsker,FALSE,Bullz-Eye.com,Rotten,2.5/5,5/13/2011,There are some nifty touches in the big city sequences ... but the vampire-heavy scenes are nearly incomprehensible.
102,m/10009274-priest,Adam Markovitz,TRUE,Entertainment Weekly,Rotten,C-,5/13/2011,"Adapted from a graphic-novel series (and what isn't these days?), this unholy mess of horror and Western clichs is, at least, blessed with a wonderfully loony premise."
103,m/10009274-priest,Edward Douglas,FALSE,ComingSoon.net,Fresh,10-Jul,5/13/2011,It's admirable how a movie with so many obvious influences and references can offer an experience that still feels like its own thing.
104,m/10009274-priest,Alonso Duralde,FALSE,HitFix,Rotten,,5/13/2011,"Lately, it feels like there are two things you can count on in a Screen Gems movie. 1) It will suck. 2) It will feature Cam Gigandet. And he will suck."
105,m/10009274-priest,Nathan Rabin,TRUE,AV Club,Rotten,D+,5/13/2011,"The simplistic directness of its storytelling is refreshing. It's as if the filmmakers realize they're wasting everyone's time, so they at least want to take up as little of it as possible."
106,m/10009274-priest,Brian Orndorf,FALSE,Sci-Fi Movie Page,Rotten,1.5/4,5/13/2011,"Maybe I'm giving the filmmakers too much credit, but I'd like to believe there was once more to Priest than the tedious, hollow, joyless jumble that's presented here"
107,m/10009274-priest,Beth Accomando,FALSE,KPBS.org,Rotten,,5/13/2011,"Priest's shortcomings should not really come as a surprise. Previously, Stewart directed the equally lame Legion, which also mixed religion and demonic creatures."
108,m/10009274-priest,Rob Vaux,FALSE,Mania.com,Rotten,C-,5/13/2011,Its truncated running time suggests that a huge amount of it was left on the cutting room floor.
109,m/10009274-priest,Thomas Leupp,FALSE,Hollywood.com,Fresh,5-Mar,5/13/2011,"A surprisingly effective piece of genre filmmaking, littered with flaws but none so glaring as to sink the film as a whole."
110,m/10009274-priest,Fred Topel,FALSE,Screen Junkies,Rotten,,5/13/2011,It just makes me sad to think director Scott Stewart and all the artists under him had high ambitions and substantial resources... for this.
111,m/10009274-priest,Jeff Bayer,FALSE,The Scorecard Review,Rotten,10-Mar,5/13/2011,They could have called this one 'Something Borrowed' because everything feels lifted from other films.
112,m/10009274-priest,Graham Young,FALSE,Birmingham Mail,Rotten,5-Jan,5/13/2011,Bettany has little character and the 3D effects are appalling.
113,m/10009274-priest,Jordan Hoffman,FALSE,UGO,Fresh,A-,5/13/2011,...society is protected by a band of licensed-to-kill clergy who power up with prayer and shoot cross-shaped ninja stars.
114,m/10009274-priest,Dustin Putman,FALSE,TheFilmFile.com,Rotten,0.5/4,5/13/2011,"An irritating, lifeless experience, so bad it sucks the fun right out of moviegoing."
115,m/10009274-priest,Geoff Berkshire,FALSE,Metromix.com,Rotten,2.5/5,5/13/2011,Already seems this aggressively B-level entertainment will quickly wither and disappear in the face of Hollywood's A-level events.
116,m/10009274-priest,Jim Vejvoda,FALSE,IGN Movies,Rotten,2.5/5,5/13/2011,"On a visceral level, Priest offers enough action and cool bits to probably hold the interest of most 14-year-old boys, but its hodgepodge story and overall derivative nature make it feel like a movie that should have come out back in the '90s."
117,m/10009274-priest,Andrea Chase,FALSE,Killer Movie Reviews,Rotten,5-Feb,5/14/2011,Things progress in a thoroughly clichd manner
118,m/10009274-priest,Matt Brunson,FALSE,Creative Loafing,Rotten,4-Feb,5/14/2011,"After a strong beginning, Priest ends with a whiff of Jonah Hex about it."
119,m/10009274-priest,Christopher Smith,FALSE,Bangor Daily News (Maine),Rotten,D,5/14/2011,"If you have an action movie that doesn't have enough loud, wham-bam, explosive fun to wake a sleeping baby, which was the case at my screening, then you, my friend, have an action movie not worth seeing."
120,m/10009274-priest,Brett Michel,FALSE,Boston Herald,Rotten,C,5/14/2011,"The action's fairly toothless, and the abrupt, anemic ending promises a sequel. The filmmakers will have to pray pretty hard for that miracle."
121,m/10009274-priest,Bill Gibron,FALSE,Filmcritic.com,Rotten,2.5/5,5/15/2011,Priest could never live up to its geek cool promise
122,m/10009274-priest,Elias Savada,FALSE,Film Threat,Rotten,5-Jan,5/15/2011,"If you've watched any of the trailers, they make about as much sense as the full feature does."
123,m/10009274-priest,Tirdad Derakhshani,TRUE,Philadelphia Inquirer,Rotten,4-Jan,5/15/2011,"High production values and slick editing can't save this picture. Nor does its overbearing soundtrack music, which tries to strong-arm viewers into believing they're watching a pulse-pounding thriller."
124,m/10009274-priest,Linda Barnard,TRUE,Toronto Star,Rotten,0.5/4,5/15/2011,A mash-up of vampire horror and period westerns stewed with Blade Runner cityscapes and ridiculous religious images in a bubbling cauldron of dumb ideas and sinfully bad dialogue.
125,m/10009274-priest,Tim Brayton,FALSE,Antagony & Ecstasy,Rotten,10-Feb,5/16/2011,"In all of this utterly dispiriting, ill-written and spastically-directed tripe, there is one bright spot, and that is Karl Urban as the villain."
126,m/10009274-priest,Mark Feeney,TRUE,Boston Globe,Rotten,4-Feb,5/16/2011,"""Priest'' is based on a series of Korean graphic novels. What it's really based on, though, is other movies - a whole lot of other movies."
127,m/10009274-priest,Scott Nash,FALSE,Three Movie Buffs,Rotten,4-Jan,5/16/2011,So bad it's almost good...almost.
128,m/10009274-priest,Walter Chaw,FALSE,Film Freak Central,Fresh,4-Mar,5/17/2011,"It may not be great, but it's pure, and it deserved better."
129,m/10009274-priest,Jackie K. Cooper,FALSE,jackiekcooper.com,Rotten,10-May,5/17/2011,Same old same old about humans fighting vampires in a futuristic society - been there done that. Still the movie does have good action and a nice performance by Paul Bettany.
130,m/10009274-priest,James Kendrick,FALSE,Q Network Film Desk,Rotten,1.5/4,5/18/2011,"yet another in a long line of dim, contrasty postmodern stews that appeal to a particularly dark, pseudo-Gothic sensibility, but probably not to anyone else, including those who enjoy the various genres from which it steals."
131,m/10009274-priest,Keith Uhlich,TRUE,Time Out,Rotten,5-Feb,5/18/2011,The God of Aborted Franchises will be pleased.
132,m/10009274-priest,Jim Lane,FALSE,Sacramento News & Review,Rotten,5-Feb,5/19/2011,"The parallels between Priest and The Searchers are extensive, and spotting them provides some fun in what might otherwise be a pretty dismal experience."
133,m/10009274-priest,Peg Aloi,FALSE,Boston Phoenix,Fresh,2.5/4,5/19/2011,"As happens with big-screen comics, the dialogue fizzles at times. But mostly this is a delicious mash-up of styles and genres: gothic, steampunk, Wild West, martial arts, dystopian fun."
134,m/10009274-priest,Ken Hanke,FALSE,"Mountain Xpress (Asheville, NC)",Rotten,2.5/5,5/19/2011,"Priest is so not a good movie. In fact, it's a pretty bad one, but it's also the most fun I've had at a bad movie for some considerable time."
135,m/10009274-priest,Marjorie Baumgarten,FALSE,Austin Chronicle,Rotten,5-Feb,5/20/2011,"Bettany exudes an intensity that lays the groundwork for an interesting character, but Priest hasn't a prayer of creating anything more subtle than the giant cross tattooed on his face."
136,m/10009274-priest,Rich Cline,FALSE,Shadows on the Wall,Rotten,1.5/5,5/20/2011,"The po-faced filmmaking and acting only highlights how unoriginal it is, from production design to music to action sequences"
137,m/10009274-priest,Dave White,FALSE,Movies.com,Rotten,1.5/5,5/20/2011,You sit in your theater seat imagining how much better it would be if it were rated R and garnished with tons more vampire violence and digital death.
138,m/10009274-priest,Grae Drake,FALSE,Movies.com,Rotten,1.5/5,5/20/2011,It's a lot of talky-talky and very little smashy-smashy.
139,m/10009274-priest,Susan Granger,FALSE,SSG Syndicate,Rotten,10-Apr,5/21/2011,"Creepy, pulpy and shamelessly derivative sci-fi."
140,m/10009274-priest,Widgett Walls,FALSE,Needcoffee.com,Rotten,1.5/5,5/23/2011,"These vampires are bestial-looking, eyeless, fanged somethings that look like...Gollum on crystal meth."
141,m/10009274-priest,John Beifuss,FALSE,"Commercial Appeal (Memphis, TN)",Rotten,4-Feb,5/27/2011,"The inspiration may be John Ford and the credited source may be a Korean comic book, but it resembles one of producer Roger Corman's 1980s 'Mad Max' rip-offs, pumped up with charmless and overbusy 21st-century digital effects."
142,m/10009274-priest,D.K. Holm,FALSE,Vancouver Voice,Rotten,,5/30/2011,it is effective within its own terms
143,m/10009274-priest,Linda Cook,FALSE,KWQC-TV (Iowa),Rotten,4-Feb,6/3/2011,"A sort of futuristic fantasy western with 'The Searchers' as its granddad, 'Priest' is an action adventure that will attract fans of the graphic novel and folks who like fantasy in general."
144,m/10009274-priest,Jeffrey M. Anderson,FALSE,Common Sense Media,Rotten,5-Feb,6/3/2011,It's great-looking but lifeless.
145,m/10009274-priest,Wesley Lovell,FALSE,Cinema Sight,Rotten,4-Jan,6/9/2011,"A poorly conceived, pointless exercise in genre filmmaking."
146,m/10009274-priest,Kevin A. Ranson,FALSE,MovieCrypt.com,Fresh,2.5/4,6/13/2011,That's what churches are for... get in a man's way (especially when he needs to kill a horde of vampires).
147,m/10009274-priest,Brandon Fibbs,FALSE,BrandonFibbs.com,Rotten,10-Feb,7/6/2011,Priest is the sort of movie you walk into knowing full well its IQ is significantly less than the bucket of popcorn balanced in your lap...
148,m/10009274-priest,Ben Rawson-Jones,FALSE,Digital Spy,Rotten,5-Feb,7/14/2011,There's an overriding sense that many aspects of the movie have either been shockingly underdeveloped... or left on the cutting room floor.
