rotten_tomatoes_link,critic_name,top_critic,publisher_name,review_type,review_date,review_content
m/vampires_vs_the_bronx,Charles Pulliam-Moore,FALSE,io9.com,Fresh,10/12/2020,"The kids' chemistry makes it easy for them to carry Vampires vs. the Bronx's quippy, self-referential humor that's at its strongest when the movie lets itself become properly goofy."
m/vampires_vs_the_bronx,Ben Travis,TRUE,Empire Magazine,Fresh,10/10/2020,A witty and likeable horror-comedy that manages to put a stake to the heart of some real issues while it tickles your ribs.
m/vampires_vs_the_bronx,Mark H. Harris,FALSE,Black Horror Movies,Fresh,10/10/2020,"Vampires vs. the Bronx's well-executed humor, likable characters, stellar cast (including small but memorable roles by Method Man, Zoe Saldana and Chris Redd) and infectious energy are more than enough for a good time."
m/vampires_vs_the_bronx,Rohan Naahar,FALSE,Hindustan Times,Fresh,10/8/2020,"Given a subdued release on Netflix, the breezy little bear-hug of a movie gives a voice to the working class, and is just as passionate about the perils of gentrification as it is about the art of killing vampires."
m/vampires_vs_the_bronx,Brian Orndorf,FALSE,Blu-ray.com,Fresh,10/8/2020,"Delightful, with creepy encounters and successful jokes, reinforcing Rodriguez as a helmer who should really oversee more funny business."
m/vampires_vs_the_bronx,Allen Adams,FALSE,The Maine Edge,Fresh,10/7/2020,"For anyone with an affinity for comedy-horror or nostalgia for the kid-centric adventures of the 1980s, this will prove to be a rewarding and enjoyable viewing experience, as well as a reminder that gentrification does indeed suck."
m/vampires_vs_the_bronx,Murjani Rawls,FALSE,Substream Magazine,Fresh,10/7/2020,"Vampires vs. The Bronx is brimming with heart, the emotional strain of gentrification, and who it hurts the most."
m/vampires_vs_the_bronx,Melissa Linares,FALSE,The Young Folks,Fresh,10/7/2020,"The film takes to heart the job of personifying gentrification as the harmful, soul stealing thing it truly is."
m/vampires_vs_the_bronx,Rafael Motamayor,FALSE,IGN Movies,Fresh,10/7/2020,"Vampire vs. the Bronx offers enough kid-friendly thrills and laughs to entertain and introduce newcomers to the horror genre, while also offering a socially conscious exploration of gentrification we haven't seen in the genre before."
m/vampires_vs_the_bronx,Rendy Jones,FALSE,Rendy Reviews,Fresh,10/7/2020,"Funny, short, and has a wide enough appeal for New Yorkers and teenagers looking for a new horror-comedy."
m/vampires_vs_the_bronx,Kristy Puchko,TRUE,Pajiba,Fresh,10/7/2020,"Alive, inventive, and specific, this horror-comedy is an absolute winner."
m/vampires_vs_the_bronx,Josiah Teal,FALSE,Film Threat,Fresh,10/5/2020,"Vampires Vs. The Bronx is a great way to introduce your kids or pre-teens to the vampire genre, and a fun look at how Gen Z plans to deal with armies of the undead."
m/vampires_vs_the_bronx,Dominic Griffin,FALSE,The Armchair Auteur,Fresh,10/5/2020,"In pro wrestling match rating terms, this is the ""gentleman's three stars,"" the kind of rating you give to something that is serviceable but could have been something really special."
m/vampires_vs_the_bronx,Kate Sanchez,FALSE,But Why Tho? A Geek Community,Fresh,10/3/2020,"As a directorial debut, this is a strong one form Osmany Rodriguez and one that is sure to induct a whole new generation of fans to the vampire horror fandom."
m/vampires_vs_the_bronx,Chris Stuckmann,TRUE,ChrisStuckmann.com,Fresh,10/3/2020,"I do recommend checking it out, especially if you're in a Halloween mood. It's a fun movie, but it could have been a lot better."
m/vampires_vs_the_bronx,Ricardo Gallegos,FALSE,La Estatuilla,Fresh,10/2/2020,There is a sincere vibe of community that Rodríguez uses to create an entertaining story that you can enjoy with the whole family.
m/vampires_vs_the_bronx,Felix Vasquez Jr.,FALSE,Cinema Crazed,Fresh,10/2/2020,"A fun, creepy, and exciting Halloween treat that completely side steps the hum drum Vampire narrative in favor something original and unique."
m/vampires_vs_the_bronx,Daniel Hart,FALSE,Ready Steady Cut,Rotten,10/2/2020,"Apart from the important themes, Vampires vs. the Bronx is simple and run-of-the-mill."
m/vampires_vs_the_bronx,Nick Allen,TRUE,RogerEbert.com,Fresh,10/2/2020,"When a horror-comedy is as agile, charming, and funny as this, everybody wins."
m/blood_red_sky,Aaron Phillips,FALSE,But Why Tho? A Geek Community,Fresh,1/16/2023,Blood Red Sky is itself a fantastic premise that starts off really well but sadly hits too many obstacles along the way to make a great story.
m/blood_red_sky,Jessica Scott,FALSE,Film Cred,Fresh,12/22/2022,"It may draw from obvious influences, but it is its own movie, standing alone as a suspenseful, moving, and surprising film from start to finish."
m/blood_red_sky,Jonathan DeHaan,FALSE,Nightmare on Film Street,Fresh,8/25/2021,Blood Red Sky is a victim of its own pacing but it still delivers everything you're looking for in a good vampire movie (not to mention a good heist movie)
m/blood_red_sky,Dennis Schwartz,FALSE,Dennis Schwartz Movie Reviews,Rotten,8/20/2021,We see how even vampires are better fit for society than terrorists.
m/blood_red_sky,Scott Weinberg,FALSE,Thrillist,Fresh,8/18/2021,"Runs perhaps a bit too long for its own good, but the flick eventually benefits from nice pacing and several kinetic set pieces."
m/blood_red_sky,Travis Johnson,FALSE,Mr. Movie's Film Blog,Fresh,8/10/2021,There's something to be said for a film that knows exactly what it is and fulfills its remit to the level best of its ability.
m/blood_red_sky,Tom Meek,FALSE,Cambridge Day,Rotten,8/6/2021,A dull vampire thriller that could have been so much more.
m/blood_red_sky,Dennis Harvey,FALSE,48 Hills,Fresh,7/30/2021,"A high-concept contraption done well, Sky may be overlong (at 121 minutes) and silly, but is what it is-and it is fun."
m/blood_red_sky,Robert W. Butler,FALSE,Butler's Cinema Scene,Fresh,7/30/2021,It's an utterly ridiculous idea performed with such unflinching gravitas that somehow the whole lurid mess works.
m/blood_red_sky,Tatat Bunnag,FALSE,Bangkok Post,Fresh,7/30/2021,"With a mediocre second half and a film running a little too long, and perhaps some predictability, Blood Red Sky still delivers an action-packed violent thrill ride in a claustrophobic setting that creates an engaging horror story."
m/blood_red_sky,Paul Mount,FALSE,Starburst,Fresh,7/30/2021,"Blood Red Sky is a welcome blood-red treat, a proper horrific vampire story whose supernatural protagonists are more in line with the savage beasts of 30 Day of Night than the lovey-dovey saps of the Twilight saga."
m/blood_red_sky,Jennifer Green,FALSE,Common Sense Media,Fresh,7/30/2021,"Perhaps surprisingly given the campy premise (and some genre staples, like the cry, ""Does anyone on board know how to fly?!""), the character drama keeps you attentive."
m/blood_red_sky,Lee McCoy,FALSE,DrumDums,Fresh,7/28/2021,"With nail-biting tension and plenty of bloodthirst, it practically writes itself. There's a good mix of genre favorites like 30 Days of Night (the look) and Train to Busan (the heart)."
m/blood_red_sky,John Serba,FALSE,Decider,Fresh,7/27/2021,"The plot - well, it's ramshackle... But as it is, it's still good enough to elevate our heart rates."
m/blood_red_sky,Leo Brady,FALSE,AMovieGuy.com,Fresh,7/27/2021,"There may not be much deeper thought going into Blood Red Sky, but this is a thrilling, nasty vampire movie, soaring above the clouds, causing havoc on a 747."
m/blood_red_sky,Jeffrey Parkin,FALSE,Polygon,Fresh,7/26/2021,"There's a good movie in there, it just takes a lot of effort to get to and often gets lost in the noise."
m/blood_red_sky,Sarah Bea Milner,FALSE,Screen Rant,Fresh,7/23/2021,"It blends action-thriller suspense with horror and, although it never quite rises above the formulas of either genre, Blood Red Sky is still fun."
m/blood_red_sky,Matt Fowler,FALSE,IGN Movies,Fresh,7/23/2021,"Blood Red Sky is a touch overlong, but its good parts outweigh the plodding elements. The film never forgets the mother/son bond that fuels the drama, allowing all of the action and bloodshed to be informed by a maternal drive to protect and shield."
m/blood_red_sky,Brian Tallerico,TRUE,RogerEbert.com,Rotten,7/23/2021,The sense of surprise or playfulness that you would think is inherent in a 'Bats on a Plane' concept just isn't here.
m/blood_red_sky,Scott Campbell,FALSE,We Got This Covered,Fresh,7/23/2021,Blood Red Sky makes for a perfectly fine Friday night viewing.
m/blood_red_sky,Alan Zilberman,FALSE,Washington City Paper,Fresh,7/23/2021,"It delivers on its premise, so your enjoyment hinges on whether ""hijackers take over a plane, and vampire mom is on board"" sounds like great trash or irredeemable nonsense."
m/blood_red_sky,Josh Bell,FALSE,CBR,Rotten,7/23/2021,"For such a fun, attention-grabbing high-concept premise, the execution is disappointingly repetitive and dull."
m/blood_red_sky,Randy Myers,TRUE,San Jose Mercury News,Fresh,7/22/2021,"Director/co-writer Peter Thorwarth splatters the screen with gore while tossing in surprises, delirious preposterousness and even a few touching moments. It's grand fun."
m/blood_red_sky,Nick Rogers,FALSE,Midwest Film Journal,Fresh,7/22/2021,"There are many snarky snowclone titles you could apply to this sanguine slab of grab-bag genre fare. But it's so full to bursting with fiendish turns and unexpected thoughtfulness that such jabs are beneath this contemplative, carnage-laden curio."
m/blood_red_sky,Derek Deskins,FALSE,Edge Media Network,Fresh,7/21/2021,"As it is, ""Blood Red Sky"" is a perfectly fine horror action film, bathed in blood and accentuated with explosions. It won't surprise you, but it'll keep you entertained for most of its runtime."
m/blood_red_sky,David Ehrlich,TRUE,indieWire,Rotten,7/20/2021,"It's an intriguing dilemma - one that a better film would have done more to contrast against the hijackers' craven inhumanity - but ""Blood Red Sky"" fails to coagulate that conflict into action."
m/blood_red_sky,Nathaniel Muir,FALSE,AIPT,Fresh,7/20/2021,"One of the most original movies of the year comes with a premise that sounds too ridiculous to be good. Not quite as emotional as it would like, but still a lot of fun."
m/blood_red_sky,Matt Donato,FALSE,What To Watch,Fresh,7/12/2021,"'Blood Red Sky' is a transatlantic terror that blends action, excitement, and unexpected sweetness into what sounds like any Saturday night SYFY headliner but is so much more."
m/blood_red_sky,Justin Harrison,FALSE,The Spool,Rotten,7/11/2021,The intriguing ideas Blood Red Sky brings to play go to waste.
m/blood_red_sky,Meagan Navarro,TRUE,Bloody Disgusting,Fresh,7/9/2021,"It's the type of plot that screams action-horror spectacle, yet this high-altitude thriller defies expectations from the start. A beating heart of familial love pumps through the veins of this intense horror-thriller with a vicious take on vampire lore."
m/blood_red_sky,Sarah Musnicky,FALSE,Nightmarish Conjurings,Fresh,7/8/2021,Absolutely thrilling. BLOOD RED SKY will keep viewers on the edge of their seats from beginning to end.
m/night_teeth,Zach Youngs,FALSE,InSession Film,Rotten,7/2/2024,"Night Teeth could have been a pretty decent vampire/gangster mashup, but the convoluted nature of the world and the lackluster love plot sink it faster than a vamp can sink its teeth into a willing neck."
m/night_teeth,Cris Kennedy,FALSE,The Canberra Times (Australia),Fresh,8/23/2022,"A darkly comic and enjoyable Ulyssean journey through the LA nightscape and playing with genre vampire film tropes, supported by fun performances."
m/night_teeth,Keith Garlington,FALSE,Keith & the Movies,Rotten,8/16/2022,"While it’s hard not to snicker at a title like “Night Teeth”, it’s even harder to get in sync with this light and often lethargic attempt at a hip stylish vampire flick."
m/night_teeth,Rahul Desai,FALSE,News9 Live (India),Rotten,8/2/2022,"For a film that's all style, the design of the climax is rather troubling."
m/night_teeth,Scott Campbell,FALSE,We Got This Covered,Rotten,3/28/2022,"Night Teeth is a disappointing vampire thriller that's all style and no substance, leaving plenty of interesting world-building and unique mythology behind in favor of a formulaic story audiences will see coming from a mile away."
m/night_teeth,Chloe Harper Gold,FALSE,Dread Central,Fresh,3/14/2022,"Despite limited screen time for Megan Fox and a paint-by-numbers plot, the film satisfies as a visually stunning vampire thriller."
m/night_teeth,Jeff Nelson,FALSE,Showbiz Cheat Sheet,Rotten,2/12/2022,"Night Teeth mildly entertains, but it ends up being more of a nibble than a bite."
m/night_teeth,Michael Frank,FALSE,The Spool,Fresh,11/28/2021,"When the film leans into sex, blood, and the weirdness of the world, it oozes fun."
m/night_teeth,Shah Shahid,FALSE,Comic Years,Rotten,11/15/2021,"Night Teeth is yet another vampire story that is more of a one-night-in-hell type adventure that is interesting, but not great."
m/night_teeth,Jim Schembri,FALSE,jimschembri.com,Fresh,11/8/2021,"The type of congenial, easily digested vampire movie you can watch while doing the ironing."
m/night_teeth,Roxana Hadadi,TRUE,Polygon,Fresh,11/5/2021,"If considered purely as a straightforward love letter to the vampire genre, and an expression of affection for the clichés and tropes these movies use over and over, Night Teeth can be a good time."
m/night_teeth,Dennis Schwartz,FALSE,Dennis Schwartz Movie Reviews,Rotten,11/4/2021,Nothing to sink your teeth into.
m/night_teeth,Shelli Nicole,FALSE,Thrillist,Fresh,11/1/2021,"In spite of its flaws, the gratuitous vampire violence and sexy-yet-creepy vibe make it worth the Halloween watch."
m/night_teeth,Valerie Complex,TRUE,Deadline Hollywood Daily,Fresh,11/1/2021,"Nothing special, but it is fun."
m/night_teeth,Jordy Sirkin,FALSE,Jordy Reviews It,Rotten,11/1/2021,Night Teeth reels you in with a vibrant concept but ultimately lacks a pulse within its execution.
m/night_teeth,Kate Erbland,TRUE,indieWire,Rotten,10/28/2021,"[Fry's] increasingly unhinged performance ensures that ""Night Teeth"" isn't an entirely bloodless flop, but even she stalls out as the film crawls along beyond a 100-minute running time."
m/night_teeth,Tori Preston,FALSE,Pajiba,Rotten,10/28/2021,"This is one of those movies where I contemplated turning it off the entire time, and I didn't because I respect my film editor, but also because there was just enough good stuff to keep me on the hook."
m/night_teeth,Sara Michelle Fetters,TRUE,MovieFreak.com,Fresh,10/27/2021,"Night Teeth is Collateral with fangs by way of Stephenie Meyer and, surprisingly enough, I don't mean any of that as a negative."
m/night_teeth,JK Sooja,FALSE,Common Sense Media,Rotten,10/27/2021,"While there's a fair amount of neon jazzy flair to the violence in Night Teeth, it all lacks a certain weight or heft, as if everything is a connect-the-dot moving picture."
m/night_teeth,Collier Jennings,FALSE,But Why Tho? A Geek Community,Rotten,10/25/2021,Night Teeth doesn't fully reach its potential thanks to an underdeveloped story and premise that feels like a disservice to its genuinely talented cast members and director.
m/night_teeth,Ferdosa Abdi,FALSE,Screen Rant,Fresh,10/24/2021,"Night Teeth is not reinventing the wheel, but it is a fun neon-drenched romp that will certainly quench viewers' thirst for vampire narratives."
m/night_teeth,Andrew Murray,FALSE,The Upcoming,Rotten,10/23/2021,"[A]s the night wears on, the Netflix flick demonstrates that it has a lot less bite than it thinks it does. A largely predictable plot, forgettable antagonist and shallow world-building make for an unsatisfying meal."
m/night_teeth,Nick Allen,TRUE,RogerEbert.com,Rotten,10/22/2021,Vampires are treated like one of many cliches in this underwhelming horror-action-comedy that has little charisma of its own.
m/night_teeth,Marissa Crenwelge,FALSE,Tell-Tale TV,Rotten,10/22/2021,"For all the glamour and glitz, there's very little meat at the inside of this story. Night Teeth doesn't give enough exposition to make you care about why any of the night's events are taking place."
m/night_teeth,Sean Collier,FALSE,Pittsburgh Magazine,Fresh,10/22/2021,"If Shakespeare had written a vampire romance, and then that romance were given a very loose 21st-century retelling, it would feel a lot like Night Teeth."
m/night_teeth,John Serba,FALSE,Decider,Rotten,10/21/2021,"I saved all the vampire puns for the end: Night Teeth is toothless, it's bloodless, it's got dull fangs, it sucks, it has no bite, it needs a good dentist, etc."
m/night_teeth,Austin Burke,FALSE,Austin Burke/Flick Fan Nation,Rotten,10/21/2021,"This story chooses to play it safe with the style and how deep it dives into the lore. Night Teeth features good chemistry between the main trio, but their journey is a bit too conventional."
m/night_teeth,Randy Myers,TRUE,San Jose Mercury News,Fresh,10/21/2021,"While this Netflix Halloween entry from director Adam Randall has its campy moments, it's just too long for its own good and would have been sharper if it shed 15 minutes or so."
m/night_teeth,Matt Fowler,FALSE,IGN Movies,Fresh,10/20/2021,"Night Teeth's winning lead trio and its glossy, electronic buzz save this Collateral clone from sinking into full nonsense"
m/night_teeth,DarkSkyLady,FALSE,DarkSkyLady Reviews,Fresh,10/20/2021,"Night Teeth entertains, despite its shallowness, thanks to the cast breathing life into the story."
m/night_teeth,Benjamin Lee,TRUE,Guardian,Rotten,10/20/2021,Night Teeth isn't quite as dreadful as its truly dreadful title but it's just as forgettable.
m/night_teeth,Tony Sokol,FALSE,Den of Geek,Fresh,10/20/2021,"Fry particularly shines. As cold and distant as she forces herself to be, the character is extremely likeable, and the actress brings subtle charisma throughout."
m/night_teeth,Matt Lynch,FALSE,In Review Online,Rotten,10/20/2021,Plays like someone made an entire movie based on the voiceover and opening blood-nightclub scene in Blade but without the cool part. This effort isn't worthy of [anyone's] talents.
m/night_teeth,Jeannette Catsoulis,TRUE,New York Times,Rotten,10/20/2021,A strangely listless vampire tale that unspools with some style and precious little sense.
m/night_teeth,Owen Gleiberman,TRUE,Variety,Rotten,10/20/2021,"The dark-side-of-the-L.A.-club-scene premise has potential, but the movie turns out to be a cut-and-paste thriller without any night-world bloom to it."
m/night_teeth,Matt Donato,FALSE,What To Watch,Rotten,10/20/2021,"'Night Teeth' doesn't paint the proverbial town as red as we'd hope, since the more exciting action elements of this underdeveloped vampire thriller are accented by flatness."
m/night_teeth,Brian Orndorf,FALSE,Blu-ray.com,Fresh,10/20/2021,"It's an entertaining ride with the creatures of the night and their mounting frustrations with their enemies, with Randall keeping matters lively as he sorts through exposition and character introductions."
m/night_teeth,Mark Dujsik,FALSE,Mark Reviews Movies,Rotten,10/20/2021,Night Teeth ... gives us an overly generic world of blood-sucking fiends and a plot to match it.
m/night_teeth,Jorge Rivera Rubio,FALSE,QiiBO,Rotten,10/19/2021,"Besides good effort by Lucy Fry, and a fun, sleek neon cinematography, this only helps us realize how much better other vampire movies and TV shows are. [Full review in Spanish]"
m/night_teeth,Jason Shawhan,TRUE,AV Club,Fresh,10/19/2021,"The film fulfills its obligations with style, even if it never matches the ambitious flourish of its opening sequence."
m/night_teeth,Sara Clements,FALSE,Daily Dead,Fresh,10/19/2021,"While Night Teeth has a few hiccups and is built around a pretty generic power trip narrative, it has well-crafted characters, exposition, and well-choreographed action sequences, all in a stylish package."
m/night_teeth,Robert Kojder,FALSE,Flickering Myth,Rotten,10/19/2021,"Even when it comes to familiar genre action, the film is still a failure"
m/night_teeth,Natalia Keogan,FALSE,Paste Magazine,Rotten,10/19/2021,Night Teeth delivers formulaic fun without much for viewers to sink their teeth into.
m/night_teeth,Josh Bell,FALSE,CBR,Rotten,10/19/2021,Fox and Sweeney liven up the movie more in a few minutes than anyone else in the cast manages for its entire running time.
m/night_teeth,Fico Cangiano,FALSE,CineXpress,Rotten,10/19/2021,Lucy Fry stands out in this bland vampire ride along that lacks frights and thrills.
m/night_teeth,Meagan Navarro,TRUE,Bloody Disgusting,Rotten,10/18/2021,"Despite a likable lead and a constantly moving narrative, Night Teeth lacks bite and is sucked dry of any life."
m/night_teeth,Nick Rogers,FALSE,Midwest Film Journal,Rotten,10/18/2021,"Muzzled by a miniature canvas for multicultural touches, meaningful character interaction and monster lore, a miniseries idea folded to feature form. For a film about the collapse of a century-long human-vampire truce, it's frustratingly low-stakes."
m/night_teeth,Lauren Coates,FALSE,AwardsWatch,Rotten,10/18/2021,"While normally this type of film may still be salvageable to pulp fans if it had a sharp eye for aesthetics or a particularly gruesome edge to its fight scenes, Night Teeth can't even boast either of those elements in its favor."
m/night_teeth,Brent Hankins,FALSE,The Lamplight Review,Fresh,10/17/2021,Lendeborg Jr. is charming and affable as the hero of the story... but Fry's progressively deranged performance is easily the most entertaining and Night Teeth roars to life whenever Zoe decides to unleash a bit of chaos.
m/night_teeth,Nathaniel Muir,FALSE,AIPT,Fresh,10/17/2021,"A great performance from Lucy Fry is the highlight of an energetic movie that has some serious flaws. A youthful energy keeps things fun, but the plot is thin."
m/day_shift,Jonathon Wilson,FALSE,Ready Steady Cut,Fresh,10/15/2024,Die Hard + Lethal Weapon + Blade = Day Shift. The ideal Friday Night movie.
m/day_shift,Lee Zumpe,FALSE,Tampa Bay Newspapers,Rotten,10/26/2023,"“Day Shift” is only intermittently entertaining, leaving the viewer with a handful of rousing action sequences scattered across a mostly forgettable landscape populated with under-developed characters and materialistic vampires."
m/day_shift,Mini Anthikad-Chhibber,FALSE,The Hindu,Rotten,10/4/2023,Genre leaps from horror to buddy-comedy to action to family-friendly and to a road movie make for exhausting viewing.
m/day_shift,Hector A. Gonzalez,FALSE,InSession Film,Rotten,7/25/2023,"Most of Day Shift’s jokes don’t land, and it is creaky and clunky during its entire runtime."
m/day_shift,Pramit Chatterjee,FALSE,Digital Mafia Talkies,Fresh,7/20/2023,"Day Shift is an action-packed, fun time. It has all the makings of a breezy but gory summer blockbuster."
m/day_shift,Kenneth Seward Jr.,FALSE,GameSpot,Fresh,7/19/2023,"Its premise is decent enough and while the buddy cop aspects fall flat more often than not, the film still manages to be funny. Ultimately, Day Shift is a fun evening waiting to happen for horror and action fans alike."
m/day_shift,Samuel Leggett Jr.,FALSE,JVS Media & Productions/Team JVS,Fresh,12/16/2022,This is a rated R film for violence but honestly it's just a very entertaining Vampire Hunter ride. It can comes off very cringy at times. But actors are committed to there characters so no matter how crazy things get your still willing to watch again
m/day_shift,Dhaval Roy,FALSE,The Times of India,Fresh,12/6/2022,Foxx and Franco have great chemistry onscreen and there are many scenes that tickle the funny bone.
m/day_shift,Jonathan Sim,FALSE,ComingSoon.net,Fresh,11/30/2022,"Every once in a while, it’s nice to sit back and enjoy a good ol’ guilty pleasure, and you’re going to find that with all the blood, guts, and body parts this movie has to offer — maybe even more than you’re willing to admit."
m/day_shift,Mel Valentin,FALSE,That Shelf,Fresh,10/3/2022,"Leaning heavily into Blade-style geysers of blood and gore, stunt-heavy action ... the feature is a perfectly serviceable, entertaining, time-wasting genre entry."
m/day_shift,Andrew Kendall,FALSE,Stabroek News,Rotten,9/23/2022,"When Netflix is dismissed as offering content to watch in the background rather than actual movies, “Day Shift” comes to mind. It’s not an atrocity but it’s so casual and careless about everything within its frame, it’s hard to know why to bother with it."
m/day_shift,Dominic Griffin,FALSE,The Baltimore Beat,Fresh,9/21/2022,"There was a time however, when even the bad movies were pretty fun. Day Shift suggests maybe we can go back there."
m/day_shift,Gabi Zietsman,FALSE,Channel24 (South Africa),Rotten,9/21/2022,"No amount of cowboy Snoop Dogg giving roundhouse kicks to vampires could save Day Shift from the void of obscurity, lacking any sort of longevity that other vampire films have, stripping the monster of what makes it such a good villain in the first place."
m/day_shift,Jim Schembri,FALSE,jimschembri.com,Fresh,9/9/2022,"Beautiful to the eyes of any action fan is the centrepiece vehicle chase, which is fabulously mounted and features some truly marvellous editing and photography, the eye-popping drone work being even better than what we saw in Michael Bay’s Ambulance."
m/day_shift,Nestor Bentancor,FALSE,Nestor Cine Desde Hollywood,Fresh,9/9/2022,"A vibrant, action-packed popcorn flick that drains some fun out of the tired vampire sub-genre."
m/day_shift,Steve Murray,FALSE,ArtsATL,Rotten,9/7/2022,"The only consistent pleasure of Day Shift comes from Dave Franco as Seth, the finicky, suit-wearing union rep paired with the reluctant Bud. He gives the movie what little comic pulse it has."
m/day_shift,Eileen Jones,FALSE,The Jacobin,Rotten,9/2/2022,"After a few promising early scenes, it turns rote, macho, and tiresome."
m/day_shift,Jayne Nelson,FALSE,Radio Times,Rotten,9/1/2022,"An array of enjoyable, gnarly bust-ups but unfortunately there's little room left for padding out a paper-thin villain."
m/day_shift,Bob Grimm,FALSE,Coachella Valley Independent,Rotten,8/29/2022,Foxx deserves better...although the few minutes Snoop Dogg spends on screen are almost cool.
m/day_shift,Rahul Desai,FALSE,News9 Live (India),Rotten,8/29/2022,This is proof that vampire-hunter movies need to be retired.
m/day_shift,Jeffrey M. Anderson,FALSE,Combustible Celluloid,Fresh,8/26/2022,Has a goofy sense of humor that sneakily creeps up on you.
m/day_shift,Sameen Amer,FALSE,The News International (Pakistan),Rotten,8/26/2022,"Its premise may hold promise, but its weak script keeps Day Shift from living up to its potential."
m/day_shift,Gregory Wakeman,TRUE,Chicago Reader,Rotten,8/25/2022,"Ultimately, Day Shift feels like it has more in common with a video game than a movie."
m/day_shift,Nick Allen,FALSE,The Playlist,Fresh,8/25/2022,"“Day Shift” is the kind of action movie that gets less charming, and even annoying when it speaks for too long."
m/day_shift,Rob Gonsalves,FALSE,Rob's Movie Vault,Fresh,8/24/2022,"If Foxx wants a bubble-headed, action-oriented franchise, he’s got one here. As long as they bring all the folks back, especially Snoop, I’ll watch."
